spec.name	coordx	coordy	ele	route	forest	det071	det072	det073	date071	date072	date073	dur071	dur072	dur073
Squirrel	1000942	199276	550	3.9	49	0	0	0	14	40	63	210	210	215
Squirrel	1006942	31276	1850	5.3	15	0	0	NA	66	84	NA	280	285	NA
Squirrel	1006942	39276	1950	4.8	62	1	0	0	33	53	79	255	240	230
Squirrel	1006942	63276	1050	3.6	82	1	1	1	17	38	67	165	165	150
Squirrel	1006942	80276	2050	4.7	0	0	0	NA	69	76	NA	255	255	NA
Squirrel	1006942	95276	1250	6	29	0	0	0	14	31	70	195	225	210
Squirrel	1006942	175276	750	6.3	5	0	0	0	14	40	60	210	195	195
Squirrel	1012942	47276	2250	3.6	0	0	0	NA	54	80	NA	220	200	NA
Squirrel	1012942	55276	1750	4.1	58	0	1	0	42	64	77	130	120	115
Squirrel	1012942	71276	2250	4.1	0	0	0	NA	73	98	NA	150	140	NA
Squirrel	1012942	87276	1150	2.6	34	1	1	0	26	54	73	240	240	225
Squirrel	1012942	119276	1150	3.3	98	0	0	0	15	37	48	195	195	190
Squirrel	1012942	135276	650	4	33	0	0	1	22	43	63	130	170	170
Squirrel	1012942	151276	550	6.9	53	0	0	0	23	41	56	195	85	230
Squirrel	1018942	95276	1850	6.6	17	0	0	0	43	56	77	285	270	260
Squirrel	1018942	127276	950	5.9	16	1	1	0	29	43	70	205	210	150
Squirrel	1018942	159276	550	4.3	60	0	0	0	22	40	49	180	150	170
Squirrel	1018942	191276	450	6.1	2	0	0	0	23	40	55	225	225	235
Squirrel	1024942	63276	1450	5.5	52	1	1	1	20	48	68	255	240	250
Squirrel	1024942	71276	850	6.9	58	0	0	0	20	39	64	190	205	220
Squirrel	1024942	87276	1450	6.4	50	0	0	0	16	40	66	215	200	210
Squirrel	1024942	103276	1850	4.5	12	0	0	NA	52	74	NA	180	165	NA
Squirrel	1024942	119276	1450	4.5	29	0	0	0	17	37	70	210	195	185
Squirrel	1024942	151276	550	4.9	16	0	0	0	17	30	52	210	195	135
Squirrel	1024942	167276	550	3.2	83	1	1	0	22	40	49	188	166	190
Squirrel	1024942	199276	750	4	79	0	0	0	27	49	66	185	155	180
Squirrel	1029942	48276	1750	6	51	0	1	0	34	55	70	240	300	285
Squirrel	1030942	71276	650	6.5	8	0	0	0	15	33	60	140	135	155
Squirrel	1030942	111276	950	4.2	45	0	0	0	20	43	67	270	270	255
Squirrel	1030942	175276	550	6.3	5	0	0	0	14	29	56	175	169	200
Squirrel	1030942	191276	750	4.8	64	0	1	0	24	50	60	215	215	230
Squirrel	1030942	207276	350	3.4	14	0	0	0	23	54	70	210	200	210
Squirrel	1036942	55276	2750	1.9	0	0	0	NA	89	103	NA	100	105	NA
Squirrel	1036942	87276	2450	4.3	0	0	0	NA	77	83	NA	230	200	NA
Squirrel	1036942	119276	650	5.3	0	0	0	0	43	56	63	225	215	205
Squirrel	1036942	135276	650	5.3	30	0	0	1	14	49	63	255	270	270
Squirrel	1036942	151276	750	6.9	17	0	0	0	17	27	55	180	195	225
Squirrel	1036942	167276	450	4.6	65	0	0	0	15	39	65	210	210	195
Squirrel	1036942	199276	350	6.5	30	0	0	0	17	29	46	240	240	225
Squirrel	1036942	215276	250	4.2	0	0	0	0	21	36	49	250	270	240
Squirrel	1041942	110276	1950	6.2	5	0	0	NA	70	84	NA	360	360	NA
Squirrel	1041942	192276	950	9	55	0	0	0	17	34	65	255	240	270
Squirrel	1042942	40276	2350	9.3	0	0	0	NA	68	90	NA	480	495	NA
Squirrel	1042942	63276	2650	2.3	0	0	0	NA	88	102	NA	85	90	NA
Squirrel	1042942	79276	2450	4.1	0	0	0	NA	53	70	NA	135	90	NA
Squirrel	1042942	95276	1350	5.8	66	0	0	0	37	50	75	250	263	260
Squirrel	1042942	127276	750	5.4	8	1	1	0	17	34	56	265	240	230
Squirrel	1042942	207276	450	8.4	68	1	0	0	15	33	54	230	260	245
Squirrel	1048942	39276	1950	4.6	72	1	0	0	51	80	98	150	150	150
Squirrel	1048942	71276	1550	5.3	95	1	0	0	28	46	63	250	240	240
Squirrel	1048942	79276	1850	5.7	57	1	1	1	43	56	68	300	330	285
Squirrel	1048942	103276	1250	4	64	1	1	0	37	55	67	290	260	300
Squirrel	1048942	119276	1350	4.9	44	0	0	0	30	43	57	295	315	320
Squirrel	1048942	135276	850	4.8	44	0	0	0	23	43	55	165	180	165
Squirrel	1048942	151276	750	5.6	34	0	1	0	16	37	63	260	240	275
Squirrel	1048942	167276	650	6.4	21	0	0	0	15	28	49	315	300	330
Squirrel	1048942	183276	450	5.9	23	0	1	0	22	43	67	120	140	150
Squirrel	1054942	45276	2350	8.9	1	0	0	NA	68	90	NA	530	570	NA
Squirrel	1054942	63276	1650	5	43	1	0	1	26	42	65	270	285	245
Squirrel	1054942	87276	2050	4.1	30	0	0	0	49	54	69	210	240	255
Squirrel	1054942	143276	750	4.8	26	1	1	0	21	50	69	195	200	180
Squirrel	1054942	159276	750	5.6	7	0	0	0	28	44	56	180	195	195
Squirrel	1054942	175276	450	5.7	87	0	0	1	14	36	70	230	200	260
Squirrel	1054942	191276	850	4.8	49	0	1	1	20	48	66	250	255	245
Squirrel	1054942	207276	450	7.6	39	0	0	0	18	46	63	250	270	240
Squirrel	1060942	71276	1050	5.4	93	1	0	1	25	42	53	235	250	245
Squirrel	1060942	103276	1450	4.7	48	0	1	0	42	64	88	275	270	285
Squirrel	1060942	135276	850	5.7	11	0	0	0	26	37	55	270	285	240
Squirrel	1060942	151276	1250	4.8	73	0	0	0	36	43	53	260	250	240
Squirrel	1060942	199276	550	5.9	12	0	0	0	21	42	56	170	160	165
Squirrel	1066942	55276	2750	6.6	0	0	0	NA	88	97	NA	300	305	NA
Squirrel	1066942	63276	2450	4.5	0	0	0	NA	90	98	NA	300	300	NA
Squirrel	1066942	79276	1450	5.6	42	0	1	0	49	63	77	300	295	295
Squirrel	1066942	127276	1450	6	26	0	0	0	49	63	76	300	300	270
Squirrel	1066942	143276	750	3.2	13	0	0	0	23	50	67	105	105	115
Squirrel	1066942	175276	450	4.5	2	0	0	0	15	41	46	125	115	120
Squirrel	1068942	112276	2050	4.4	15	0	0	NA	43	82	NA	210	195	NA
Squirrel	1072942	63276	2050	5.8	54	0	0	0	50	65	72	295	295	315
Squirrel	1072942	71276	1750	5.5	74	1	0	1	53	71	79	280	250	270
Squirrel	1072942	119276	1650	4.3	45	0	0	0	43	56	63	225	215	205
Squirrel	1072942	127276	1950	5.2	0	0	0	NA	70	79	NA	254	260	NA
Squirrel	1072942	167276	650	5.9	61	1	1	1	14	29	49	230	230	230
Squirrel	1072942	183276	550	5.5	33	1	1	0	17	43	84	NA	NA	NA
Squirrel	1072942	199276	650	3.5	54	1	1	1	14	33	55	170	180	165
Squirrel	1078942	87276	1350	3.5	69	1	0	0	43	56	70	250	225	220
Squirrel	1078942	143276	1250	6.2	47	0	0	0	24	60	80	240	210	195
Squirrel	1078942	159276	650	6.5	5	0	0	0	15	32	53	190	190	200
Squirrel	1078942	207276	450	7.7	36	1	0	1	24	40	54	295	330	315
Squirrel	1084942	119276	750	6.1	72	1	1	0	28	43	57	230	255	240
Squirrel	1084942	151276	1050	4.8	29	0	0	0	14	28	46	240	240	235
Squirrel	1084942	167276	650	5.6	7	0	0	1	25	40	65	225	210	195
Squirrel	1084942	183276	450	4.3	7	1	1	1	15	54	63	265	235	265
Squirrel	1084942	199276	350	4.3	13	0	0	0	29	42	63	150	105	135
Squirrel	1084942	215276	350	8.3	2	0	0	0	14	34	56	205	195	205
Squirrel	1090942	95276	1350	5.4	16	0	0	1	41	49	68	220	230	250
Squirrel	1090942	143276	550	4.1	62	1	0	0	16	43	50	240	250	255
Squirrel	1090942	159276	450	7.1	9	1	0	0	14	29	57	215	235	205
Squirrel	1090942	191276	450	7.9	37	1	0	1	14	45	61	215	240	240
Squirrel	1091942	126276	2150	4.9	0	0	0	NA	74	83	NA	240	225	NA
Squirrel	1096942	199276	550	5.7	71	0	0	0	13	50	75	210	215	235
Squirrel	1102942	71276	1950	4.8	41	0	0	0	72	77	83	300	360	345
Squirrel	1102942	127276	1550	3.4	19	0	0	NA	68	96	NA	300	285	NA
Squirrel	1102942	159276	650	6.7	24	0	1	0	21	49	62	170	170	165
Squirrel	1102942	175276	450	6	10	0	0	1	15	43	50	191	180	175
Squirrel	1102942	207276	450	6.1	0	0	0	0	22	43	69	135	135	130
Squirrel	1102942	223276	450	5.7	70	0	1	1	16	40	64	215	200	210
Squirrel	1103942	141276	1850	3.5	1	0	0	NA	32	71	NA	230	225	NA
Squirrel	1105942	71276	1450	6.6	46	0	0	0	28	42	60	390	380	375
Squirrel	1105942	83276	2250	5.7	0	0	0	NA	79	80	NA	465	395	NA
Squirrel	1108942	95276	1850	5.9	45	0	0	0	50	66	78	220	235	210
Squirrel	1108942	183276	450	4.2	18	0	0	1	33	70	91	169	207	184
Squirrel	1108942	215276	450	7.5	20	0	1	1	16	44	77	225	240	240
Squirrel	1108942	231276	750	5	99	0	1	0	16	56	67	125	125	125
Squirrel	1110942	102276	2050	5.7	0	0	0	NA	76	84	NA	205	210	NA
Squirrel	1111942	62276	1350	6	62	1	0	0	25	46	76	300	270	300
Squirrel	1114942	111276	1850	5.5	5	0	0	NA	49	56	NA	210	185	NA
Squirrel	1114942	151276	450	5	3	0	0	0	21	43	56	180	180	180
Squirrel	1114942	159276	850	6.1	20	0	0	0	22	42	53	295	300	300
Squirrel	1114942	175276	650	4.3	36	1	0	1	16	49	64	255	265	260
Squirrel	1114942	191276	650	5.4	19	0	0	0	21	42	60	210	270	255
Squirrel	1116942	83276	1750	3.6	35	0	0	0	42	49	68	195	180	245
Squirrel	1118942	98276	1550	8.4	78	0	0	0	26	49	68	270	280	285
Squirrel	1120942	63276	850	3.7	87	0	0	0	16	38	52	225	215	245
Squirrel	1120942	95276	1750	4.2	80	0	1	1	48	65	90	240	240	240
Squirrel	1120942	135276	1250	5.8	51	1	1	1	25	33	49	225	220	225
Squirrel	1120942	143276	1850	1.4	0	0	0	NA	70	80	NA	166	175	NA
Squirrel	1120942	167276	950	4.7	21	0	0	1	28	50	57	180	165	165
Squirrel	1120942	183276	550	6.1	11	0	0	0	15	51	89	270	270	270
Squirrel	1120942	215276	450	4.7	29	0	0	0	18	46	68	210	255	210
Squirrel	1120942	231276	450	4	55	1	0	0	16	37	65	140	150	150
Squirrel	1121942	69276	450	7.2	54	1	1	1	16	28	68	255	380	290
Squirrel	1122942	102276	2350	3.4	0	0	0	NA	104	118	NA	120	120	NA
Squirrel	1126942	111276	1850	6.9	32	0	0	NA	32	53	NA	280	315	NA
Squirrel	1126942	143276	1350	4.5	32	0	1	0	26	41	56	205	165	180
Squirrel	1126942	207276	450	5.3	3	0	0	0	21	37	49	125	135	135
Squirrel	1129942	61276	1150	4.3	82	1	0	1	14	36	48	210	195	195
Squirrel	1129942	73276	850	4.6	58	1	0	0	36	51	64	220	215	190
Squirrel	1132942	95276	1950	4.4	36	0	0	1	39	55	70	225	225	225
Squirrel	1132942	119276	1650	5	86	1	1	0	75	89	96	240	285	240
Squirrel	1132942	167276	1250	4.6	75	0	0	0	24	48	68	265	240	280
Squirrel	1132942	215276	350	5.8	23	0	1	1	14	34	60	300	300	270
Squirrel	1133942	77276	2050	3.4	15	0	0	NA	70	84	NA	240	225	NA
Squirrel	1133942	153276	1850	3.8	0	0	0	NA	55	90	NA	285	300	NA
Squirrel	1134942	102276	2250	5.2	0	0	0	NA	48	70	NA	305	290	NA
Squirrel	1137942	42276	750	5	59	1	1	1	21	42	69	230	230	230
Squirrel	1137942	87276	1950	5.5	58	0	1	0	21	50	63	245	250	245
Squirrel	1138942	47276	950	6.2	71	0	0	0	15	42	56	190	200	195
Squirrel	1138942	95276	1650	6.4	43	0	0	0	42	53	72	275	280	315
Squirrel	1138942	143276	2150	1.2	0	0	0	NA	69	84	NA	150	135	NA
Squirrel	1138942	191276	850	6.7	69	1	1	0	24	49	74	300	300	300
Squirrel	1138942	207276	450	4.6	6	0	0	0	14	30	42	210	210	210
Squirrel	1138942	223276	550	5.1	67	1	0	0	16	33	49	300	300	300
Squirrel	1140942	58276	250	5.3	13	0	0	0	31	52	68	210	235	250
Squirrel	1142942	49276	950	5.1	72	1	1	0	24	46	69	194	215	220
Squirrel	1144942	23276	350	5	42	0	0	0	16	37	53	270	270	270
Squirrel	1144942	47276	550	5.3	72	1	1	0	15	31	57	240	270	270
Squirrel	1144942	63276	1350	3.7	79	1	1	1	48	60	72	190	200	185
Squirrel	1144942	71276	250	5.5	47	0	0	0	17	32	51	155	175	190
Squirrel	1144942	119276	2050	4.2	26	0	0	NA	68	84	NA	300	300	NA
Squirrel	1144942	183276	1150	6	56	0	0	0	22	42	66	240	250	250
Squirrel	1147942	32276	1450	5.4	20	0	0	0	30	48	79	255	270	270
Squirrel	1147942	80276	2050	3	0	0	0	NA	49	68	NA	190	165	NA
Squirrel	1149942	144276	1950	5.4	18	0	0	NA	48	70	NA	270	300	NA
Squirrel	1150942	111276	1650	5	33	0	1	0	40	60	80	270	270	270
Squirrel	1150942	127276	1550	3.3	21	0	0	0	49	56	69	200	215	210
Squirrel	1150942	159276	1350	4	39	1	1	1	22	50	55	290	225	230
Squirrel	1150942	175276	1150	5.3	69	0	0	0	23	49	70	355	415	390
Squirrel	1150942	191276	850	6	42	0	1	1	29	57	70	265	270	230
Squirrel	1150942	207276	650	5.5	19	1	0	0	15	29	57	270	195	180
Squirrel	1150942	223276	550	5.8	98	0	1	1	15	31	43	240	240	240
Squirrel	1155942	81276	1450	3.5	52	0	1	0	22	48	76	300	300	300
Squirrel	1156942	71276	1350	3.8	90	1	0	0	23	42	60	240	240	225
Squirrel	1156942	119276	1250	3.9	10	0	1	0	40	60	80	270	270	270
Squirrel	1156942	127276	850	4.1	50	0	0	0	28	53	70	225	270	240
Squirrel	1156942	199276	550	5.3	54	1	1	1	14	31	45	235	235	240
Squirrel	1156942	215276	450	5.1	9	1	0	1	29	31	50	135	120	150
Squirrel	1161942	88276	1250	5	51	1	0	1	15	49	87	220	210	230
Squirrel	1161942	145276	2050	4.3	0	0	0	NA	73	97	NA	260	250	NA
Squirrel	1162942	127276	750	5.2	35	1	1	1	15	49	67	330	345	270
Squirrel	1162942	135276	1850	3.8	57	0	0	0	56	70	84	315	255	240
Squirrel	1162942	159276	1950	5.5	2	0	0	NA	57	69	NA	200	205	NA
Squirrel	1162942	191276	950	4.9	42	1	0	1	17	32	44	240	240	250
Squirrel	1162942	207276	550	5.8	18	0	1	1	19	31	70	265	250	240
Squirrel	1168942	103276	1850	4.6	12	0	0	NA	64	87	NA	280	235	NA
Squirrel	1168942	119276	1650	3.4	34	1	0	1	31	43	50	165	165	165
Squirrel	1168942	135276	1350	4.5	68	0	0	0	21	35	42	220	250	300
Squirrel	1168942	151276	1350	4.7	63	1	1	1	23	49	66	180	195	195
Squirrel	1168942	183276	1250	3.2	48	0	1	1	27	51	77	350	340	295
Squirrel	1174942	111276	1850	3.5	33	1	0	0	42	67	83	240	210	240
Squirrel	1174942	127276	1150	5	90	0	0	0	22	35	63	230	240	250
Squirrel	1174942	159276	450	5.4	33	0	0	0	19	37	54	240	240	240
Squirrel	1174942	167276	1950	5.2	0	0	0	NA	69	91	NA	225	210	NA
Squirrel	1174942	175276	1050	4	37	1	1	1	22	55	76	210	240	210
Squirrel	1174942	207276	450	3.4	8	0	0	0	15	54	69	135	150	135
Squirrel	1180942	95276	2050	4.7	36	0	0	0	48	72	98	280	335	315
Squirrel	1180942	111276	1850	4.6	66	0	0	0	55	73	84	275	300	290
Squirrel	1180942	151276	950	4.6	56	1	1	0	22	40	49	240	230	245
Squirrel	1180942	167276	450	5.9	0	0	0	0	24	46	67	205	270	270
Squirrel	1180942	199276	950	5	41	1	0	1	18	44	65	270	300	285
Squirrel	1186942	79276	1050	7.7	63	1	0	1	23	47	71	315	330	360
Squirrel	1186942	103276	1950	5.5	0	0	0	NA	71	85	NA	190	180	NA
Squirrel	1186942	127276	1350	4.7	35	0	0	0	33	56	76	210	210	200
Squirrel	1186942	143276	550	7.5	14	1	0	0	22	49	63	215	210	225
Squirrel	1186942	191276	450	5.4	1	0	0	0	25	49	63	240	180	165
Squirrel	1192942	103276	1450	4.5	27	0	0	0	37	63	74	370	310	300
Squirrel	1192942	127276	2250	5.3	0	0	0	NA	69	83	NA	195	225	NA
Squirrel	1198942	87276	1950	4.3	6	0	0	NA	60	73	NA	360	350	NA
Squirrel	1198942	111276	2350	4.2	0	0	0	NA	72	86	NA	195	195	NA
Squirrel	1198942	135276	2050	3.9	1	0	0	NA	56	68	NA	180	180	NA
Squirrel	1198942	143276	1150	4.9	58	1	1	1	23	40	55	300	280	285
Squirrel	1204942	87276	2050	4.5	9	0	1	NA	69	83	NA	320	315	NA
Squirrel	1204942	111276	2250	4.7	14	0	0	NA	73	87	NA	200	195	NA
Squirrel	1210942	127276	2350	4.7	2	0	0	NA	76	97	NA	345	345	NA
Squirrel	1210942	143276	2250	4.2	0	0	0	NA	72	84	NA	165	240	NA
Squirrel	1215942	96276	2150	6.3	30	0	0	0	55	74	79	320	300	305
Squirrel	1216942	127276	2250	5.2	0	0	0	NA	56	84	NA	240	240	NA
Squirrel	1222942	87276	2350	2.9	0	0	0	NA	72	87	NA	190	220	NA
Squirrel	1222942	111276	1750	9.4	93	1	0	0	40	63	74	195	195	190
Squirrel	1228942	79276	1850	5.5	82	0	1	0	29	56	72	305	285	285
Squirrel	1234942	71276	1850	5.4	81	1	0	0	30	58	73	310	275	285
Squirrel	1234942	127276	1850	4.7	82	1	1	1	51	71	84	300	300	315
Squirrel	1240942	135276	2450	4.4	0	0	0	NA	68	78	NA	282	304	NA
Squirrel	1246942	135276	1850	5.6	69	1	0	1	50	60	77	310	305	296
Squirrel	1252942	111276	1850	6.2	53	1	0	1	52	63	74	330	300	300
